     JOBID  PARTITION                                                                                                           NAME           STATE       TIME
      7091   scopion1          Spin15_L128_Jdis100_Dim025_P10_BC=PBC_chi40_partition=scopion1_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7092   scopion1          Spin15_L128_Jdis100_Dim027_P10_BC=PBC_chi40_partition=scopion1_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7093   scopion1          Spin15_L128_Jdis100_Dim029_P10_BC=PBC_chi40_partition=scopion1_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7094   scopion1          Spin15_L128_Jdis100_Dim031_P10_BC=PBC_chi40_partition=scopion1_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7095   scopion1          Spin15_L128_Jdis100_Dim033_P10_BC=PBC_chi40_partition=scopion1_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7096   scopion1          Spin15_L128_Jdis100_Dim035_P10_BC=PBC_chi40_partition=scopion1_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7097   scopion1          Spin15_L256_Jdis100_Dim017_P10_BC=PBC_chi40_partition=scopion1_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7098   scopion1          Spin15_L256_Jdis100_Dim019_P10_BC=PBC_chi40_partition=scopion1_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7099   scopion1          Spin15_L256_Jdis100_Dim021_P10_BC=PBC_chi40_partition=scopion1_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7100   scopion1          Spin15_L256_Jdis100_Dim023_P10_BC=PBC_chi40_partition=scopion1_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7101   scopion1          Spin15_L256_Jdis100_Dim025_P10_BC=PBC_chi40_partition=scopion1_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7102   scopion1          Spin15_L256_Jdis100_Dim027_P10_BC=PBC_chi40_partition=scopion1_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7103   scopion1          Spin15_L256_Jdis100_Dim029_P10_BC=PBC_chi40_partition=scopion1_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7104   scopion1          Spin15_L256_Jdis100_Dim031_P10_BC=PBC_chi40_partition=scopion1_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7105   scopion1          Spin15_L256_Jdis100_Dim033_P10_BC=PBC_chi40_partition=scopion1_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7106   scopion1          Spin15_L256_Jdis100_Dim035_P10_BC=PBC_chi40_partition=scopion1_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7107   scopion1          Spin15_L384_Jdis100_Dim017_P10_BC=PBC_chi40_partition=scopion1_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
